,metricType_x,symbol,metric.bookValuePerShareAnnual,metric.bookValuePerShareQuarterly,metric.cashFlowPerShareAnnual,metric.cashFlowPerShareTTM,metric.cashPerSharePerShareAnnual,metric.cashPerSharePerShareQuarterly,metric.dividendPerShare5Y,metric.dividendPerShareAnnual,metric.dividendsPerShareTTM,metric.ebitdPerShareTTM,metric.epsBasicExclExtraItemsAnnual,metric.epsBasicExclExtraItemsTTM,metric.epsExclExtraItemsAnnual,metric.epsExclExtraItemsTTM,metric.epsInclExtraItemsAnnual,metric.epsInclExtraItemsTTM,metric.epsNormalizedAnnual,metric.freeCashFlowPerShareTTM,metric.revenuePerShareAnnual,metric.revenuePerShareTTM,metric.tangibleBookValuePerShareAnnual,metric.tangibleBookValuePerShareQuarterly,metricType_y,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
851,perShare,BATS.L,27.85766,27.85766,2.95548,3.15714,1.1548100000000001,1.1548100000000001,1.6434,2.03,2.03,5.10912,2.4689099999999997,2.4689099999999997,2.46137,2.46137,2.4897400000000003,2.4897400000000003,3.1527700000000003,1.56395,11.295069999999999,11.295069999999999,-23.92676,-23.92676,management,0.18011,0.18011,0.732,0.732,,,6.73792,6.73792,,,4.02579,11.159469999999999,27.840329999999998,8.71925,8.71925,4.02579,13.176479999999998,4.596080000000001,4.596080000000001
852,perShare,AZTECACPO.MX,1.16614,1.16614,0.02428,0.02429,0.80593,0.80593,,,0.0,0.77098,-0.21663000000000002,-0.21663000000000002,-0.21663000000000002,-0.21663000000000002,-0.21663000000000002,-0.21663000000000002,-0.21663000000000002,1.21448,4.86543,4.86607,-2.05816,-2.05816,management,0.51889,0.51889,3.63881,3.63821,,,2.6793,2.6793,,,-2.32681,-2.07734,-9.11481,-16.7734,-16.7734,-2.32681,-2.88435,-3.36744,-3.36744
853,perShare,AZM.MI,5.3052,5.3052,2.92296,2.93154,0.00013000000000000002,0.00013000000000000002,1.12947,1.0,1.0,3.51126,2.63741,2.62721,2.63741,2.62721,2.6254,2.61542,2.7379700000000002,6.36468,7.59957,7.621860000000001,0.80425,0.80425,management,0.13965,0.13965,,,,,,,,,5.05807,3.23319,34.96294,55.136540000000004,55.136540000000004,5.05807,3.32102,5.15535,5.15535
854,perShare,AWDR.OL,48.50067,48.50067,-3.74793,-3.7492699999999997,7.971010000000001,7.971010000000001,7.06676,0.0,0.0,0.8298399999999999,-6.03301,-5.9519,-6.03301,-5.9519,-6.03301,-5.9519,-3.08469,-8.37652,7.52071,7.524189999999999,48.50067,48.50067,management,0.14467,0.14467,5.07792,5.07771,,,3.94415,3.6588300000000005,,,-11.604619999999999,4.95247,7.374680000000001,-11.94047,-11.94125,-11.604239999999999,5.77712,-11.93078,-11.93039
855,perShare,AVV.L,11.932089999999999,11.81692,0.79173,0.98898,0.79237,0.4867,0.353,0.43,0.445,1.20333,0.20983000000000002,0.35774,0.20906999999999998,0.35536999999999996,0.20906999999999998,0.35536999999999996,0.3671,0.22371999999999997,4.741709999999999,5.07214,0.24614,0.31518,management,0.31875,0.34584000000000004,227.2941,253.2762,9064.091999999999,12549.77,2.65305,3.0116099999999997,205577.9,179043.6,1.40541,3.5921,4.84457,3.01871,1.74263,2.42409,4.44719,1.62782,2.79235
856,perShare,ATRS.VI,4.669969999999999,4.669969999999999,0.23108,0.23108,0.37208,0.37208,0.354,0.27,0.27,0.36646999999999996,0.22336,0.22338000000000002,0.2232,0.22328,0.2232,0.22328,0.22846999999999998,-0.01927,0.6412399999999999,0.6412399999999999,4.6432,4.669969999999999,management,0.07466,0.07466,,,236819.1,244713.0,16.186320000000002,16.186320000000002,680370.3,703049.3,2.59865,1.8364599999999998,3.09617,4.744280000000001,4.744280000000001,2.59865,1.9229900000000002,2.7622299999999997,2.7622299999999997
857,perShare,ATO.PA,65.12771,65.12771,11.11683,11.11683,22.21246,22.21246,1.5,1.4,1.4,15.593279999999998,3.8358,3.8329199999999997,3.83563,3.8327699999999996,31.56734,31.7502,5.2952900000000005,8.2285,107.6206,107.6206,-5.8638,-5.8638,management,0.57616,0.57616,24.48101,24.48101,3471.18,3703.4809999999998,4.11798,4.11798,108713.6,115989.0,1.83965,3.6470300000000004,10.64983,6.28185,6.28185,1.83965,6.24273,2.9968,2.9968
858,perShare,ATC.V,0.6873199999999999,0.6873199999999999,,,0.06264,0.06264,,,0.0,-0.00944,-0.00705,-0.00704,-0.00705,-0.00704,-0.00705,-0.00704,-0.0069700000000000005,-0.0306,0.0,0.0,0.6873199999999999,0.6873199999999999,management,0.0,0.0,,,,,,,,,-0.88,-2.00051,-2.28605,-1.01931,-1.01932,-0.8799899999999999,-2.0112400000000004,-0.88345,-0.88344
859,perShare,ATA.PA,0.08676,0.09108,0.022959999999999998,0.02539,0.034,0.01329,0.0,0.0,0.0,0.02717,0.0106,0.00391,0.00969,0.00358,0.00969,0.00358,0.011090000000000001,0.00644,0.0739,0.0733,0.034,0.02814,management,0.74234,0.5624100000000001,19.5,16.66667,,55000.0,5.97101,3.3606599999999998,,1025000.0,9.72973,15.953079999999998,,4.31034,15.0,3.01783,47.63573,14.210529999999999,4.3222
860,perShare,AST.MI,5.29948,4.62909,-0.49381,-0.70397,6.5134099999999995,4.0929199999999994,0.158,0.0,0.0,0.49101999999999996,-1.03389,-1.10978,-1.03389,-1.16887,-1.03389,-1.16887,-1.2614100000000001,-4.43239,29.515359999999998,28.414620000000003,4.4905,3.7798599999999998,management,0.59475,0.60829,7.47726,0.056170000000000005,-8883.869,-9997.235,1.29514,1.98803,262562.5,271456.3,-2.0123599999999997,1.09069,7.8173699999999995,-18.56288,-16.707620000000002,-2.24021,2.50944,-4.3676,-4.40642
861,perShare,ASSA-B.ST,53.24474,53.24474,12.050130000000001,12.04923,0.44743,0.44743,3.26,3.85,3.85,16.306620000000002,8.996410000000001,8.996410000000001,8.996410000000001,8.996410000000001,8.996410000000001,8.996410000000001,9.27031,6.24338,84.65163000000001,84.65253,-10.09384,-10.09384,management,0.8372299999999999,0.83724,5.00168,5.00168,205393.2,204053.7,6.2277,6.22777,1931871.0,1919293.0,8.90133,7.33903,14.93818,18.00005,18.00005,8.90133,9.716389999999999,11.86989,11.86989
862,perShare,ASPU,1.41893,1.91979,-0.40865999999999997,-0.22721999999999998,0.51045,0.94484,,,0.0,-0.07959,-0.5039899999999999,-0.34846,-0.5039899999999999,-0.34846,-0.5039899999999999,-0.34846,-0.47698,-0.4859,1.8482599999999998,2.38733,0.6834899999999999,1.31949,management,0.80255,0.86377,,,-34555.75,-28467.33,3.89771,3.86176,126724.1,194810.5,-21.88439,-27.83363,-41.08059,-19.158179999999998,-30.8272,-12.6221,-34.83256,-25.89322,-15.580420000000002
863,perShare,ASH.L,0.05267,0.05267,-0.04741,-0.04741,0.00035,0.00035,,,0.0,-0.0414,-0.049,-0.04902,-0.049,-0.04902,-0.049,-0.04902,-0.04904,-0.00615,0.19833,0.19833,0.0458,0.0458,management,1.00739,1.00739,5.2245800000000004,5.2245800000000004,,,1.9991599999999998,1.9991599999999998,,,-24.89122,-21.1797,-52.39776,-65.52490999999999,-65.52490999999999,-24.89122,-45.027879999999996,-63.2732,-63.2732
864,perShare,ASETEK.OL,15.83937,15.83937,1.3935600000000001,1.3935799999999998,9.95036,9.95036,0.24074,0.0,0.0,2.0747299999999997,-0.25524,-0.25524,-0.25524,-0.25524,-0.25524,-0.25524,-0.25524,2.72946,22.0815,22.08193,15.05974,15.05974,management,1.03,1.03,13.86546,13.86546,-68011.09,-67309.95,3.9161099999999998,3.65824,5884259.0,5823597.0,-1.19049,7.64195,10.883280000000001,-1.61096,-1.61096,-1.19049,10.62082,-1.54336,-1.54336
865,perShare,ARE.TO,14.13139,14.13139,2.26107,2.3704400000000003,11.237039999999999,11.237039999999999,0.47700000000000004,0.56,0.56,2.6144700000000003,1.1999799999999998,1.19841,1.1236,1.06136,1.1236,1.06136,1.00536,-0.57965,46.85729,49.123870000000004,4.99937,4.99937,management,1.14444,1.14444,135.5012,135.5012,,,3.43601,3.43601,,,2.40943,2.34048,7.23101,8.65722,8.65722,2.40943,4.10912,4.25347,4.25347
866,perShare,APS.TO,1.7350400000000001,1.7350400000000001,-0.71932,-0.7199300000000001,1.8029099999999998,1.8029099999999998,,,0.0,-0.7362,-0.73649,-0.74054,-0.73649,-0.74054,-0.73649,-0.74054,-0.73649,-0.60761,0.0,0.0,1.7350400000000001,1.7350400000000001,management,0.0,0.0,,,-1394069.0,-1191704.0,,,,0.0,-44.785509999999995,-79.50128000000001,-88.48943,-48.657959999999996,-48.657959999999996,-44.785509999999995,-88.06474,-48.206720000000004,-48.206720000000004
867,perShare,AMX.V,0.31346999999999997,0.31346999999999997,-0.07078,-0.07088,0.18984,0.18984,,,0.0,-0.07801,-0.07092000000000001,-0.07608,-0.07092000000000001,-0.07608,-0.07092000000000001,-0.07608,-0.07252,-0.11904,0.0,0.0,0.31346999999999997,0.31346999999999997,management,0.0,0.0,,,,,,,,,-25.60209,-18.07101,-20.61127,-29.50749,-29.507409999999997,-25.60215,-20.61127,-29.507409999999997,-29.50749
868,perShare,KKL.AX,0.0020399999999999997,0.0020399999999999997,-0.02,-0.02,2.9999999999999997e-05,2.9999999999999997e-05,,,0.0,-0.0055899999999999995,-0.02,-0.01983,-0.02,-0.01983,-0.02,-0.01983,-0.02,-0.00124,5.9999999999999995e-05,5.9999999999999995e-05,-0.00535,-0.00535,management,0.00236,0.00236,,,,,0.08578,0.08571000000000001,,,-78.48776,-33.94389,-72.99947,-163.4714,-163.4714,-78.48776,-62.60734,-116.76100000000001,-116.76100000000001
869,perShare,AMS.SW,14.95394,14.95394,5.03791,5.86386,4.428780000000001,4.428780000000001,,,0.0,6.47436,2.6756599999999997,2.70281,2.60412,2.5689,2.60412,2.5689,2.84856,4.6916,16.37491,19.05955,4.9711099999999995,4.9711099999999995,management,0.47026,0.47026,4.469609999999999,4.469609999999999,,,11.67683,11.67683,,,7.478619999999999,6.01935,15.96786,20.09874,20.09881,7.4786,8.22978,9.57082,9.570789999999999
