,metricType,symbol,metric.bookValuePerShareAnnual,metric.bookValuePerShareQuarterly,metric.cashFlowPerShareAnnual,metric.cashFlowPerShareTTM,metric.cashPerSharePerShareAnnual,metric.cashPerSharePerShareQuarterly,metric.dividendPerShare5Y,metric.dividendPerShareAnnual,metric.dividendsPerShareTTM,metric.ebitdPerShareTTM,metric.epsBasicExclExtraItemsAnnual,metric.epsBasicExclExtraItemsTTM,metric.epsExclExtraItemsAnnual,metric.epsExclExtraItemsTTM,metric.epsInclExtraItemsAnnual,metric.epsInclExtraItemsTTM,metric.epsNormalizedAnnual,metric.freeCashFlowPerShareTTM,metric.revenuePerShareAnnual,metric.revenuePerShareTTM,metric.tangibleBookValuePerShareAnnual,metric.tangibleBookValuePerShareQuarterly
0,perShare,AAPL,20.36534,20.41775,14.5847,15.20928,22.63148,24.43854,2.456,3,3.04,17.09711,11.96578,12.75492,11.88579,12.66158,11.88579,12.66158,11.88579,10.91645,55.96448,58.58356,20.36534,20.41775
1,perShare,BAC,29.96894,29.96894,2.93628,2.93606,18.28398,18.28398,0.408,0.66,0.66,5.55096,2.76854,2.76807,2.75318,2.75277,2.75318,2.75277,3.00194,5.91332,9.66271,9.66199,21.97326,21.97326
2,perShare,AMZN,124.6185,124.6185,54.2004,66.31778,110.4839,110.4839,,,0,72.15293,23.45749,23.47691,22.99206,23.01774,22.99206,23.01774,22.99206,43.00497,556.5912,557.142,86.86145,94.99197
3,perShare,T,25.39384,25.39384,5.87765,5.87745,1.67205,1.67205,1.96,2.04,2.04,8.05879,1.89917,1.89906,1.89453,1.89436,1.89453,1.89436,2.23066,1.95217,24.65882,24.65798,-16.49129,-16.49129
5,perShare,MO,3.3488,3.3488,-0.52862,-0.52763,1.13941,1.13941,2.604,3.24,3.24,5.78515,-0.65062,-0.65541,-0.65062,-0.65541,-0.69556,-0.7016,2.97673,0.81445,13.43499,13.43679,-6.26594,-6.26594
6,perShare,DAL,23.8934,23.8934,11.25268,11.25393,4.48371,4.48371,0.991,1.505,1.505,14.15243,7.32258,7.34226,7.30015,7.31971,7.30015,7.31971,7.30015,3.84374,71.98622,72.01379,0.64409,0.64409
7,perShare,AA,22.15754,22.15754,-0.75676,-0.75472,4.7365,4.7365,,,0,8.56604,-6.08108,-6.06298,-6.08108,-6.06298,-6.08108,-6.06298,-2.46919,1.65499,56.39459,56.24259,21.06906,22.15754
8,perShare,AXP,28.48272,28.48272,9.47711,9.47425,29.37531,29.37531,1.328,1.6,1.6,11.50136,8.00845,8.00966,7.98916,7.99036,7.98916,7.99036,7.98916,12.72508,54.35542,54.33905,24.06049,28.48272
9,perShare,DD,55.49547,55.49547,3.3713,3.36972,2.08513,2.08513,,2.16,2.16,7.98232,-0.95136,-0.94386,-0.95136,-0.94531,0.66595,0.66681,1.3776,-13.37842,28.82487,28.81136,-7.79485,-7.79485
10,perShare,BABA,27.19298,39.50819,6.27405,10.86016,11.06978,18.76914,,,0,8.01943,4.7861,9.29875,4.70763,9.16078,4.70763,9.16078,4.83413,10.662,20.25163,26.084,9.03743,21.54996
11,perShare,ABT,17.63855,17.63855,3.71421,3.71434,2.34893,2.34893,1.092,1.28,1.28,4.31458,2.03676,2.03628,2.0219,2.02145,2.07019,2.06985,2.12158,1.25103,17.91353,17.91417,-5.18127,-5.18127
13,perShare,AMAT,8.96725,9.42329,3.22222,3.41635,3.94978,4.30903,0.524,0.82,0.83,4.18172,2.86233,3.05497,2.8381,3.0247,2.86349,3.0247,2.89974,2.37199,15.4582,16.05238,5.08624,5.57018
14,perShare,AMGN,16.3561,16.3561,16.49918,16.50595,15.06764,15.06764,4.568,5.8,5.8,19.5154,12.96198,12.94968,12.87685,12.87594,12.87685,12.87594,12.94308,8.25133,38.36125,38.377,-41.33074,-41.33074
15,perShare,AAL,-0.27557,-0.27557,9.91741,9.01031,8.93502,8.93502,0.4,0.4,0.4,13.61337,3.80275,3.81132,3.795,3.80463,3.795,3.80463,5.25582,-1.42031,103.0187,103.0187,-14.69632,-14.69632
16,perShare,AIG,75.48859,75.48859,10.23595,10.23598,3.28276,3.28276,1.186,1.28,1.28,19.28592,3.73881,3.73861,3.68517,3.68422,3.73913,3.73777,4.97855,-2.39121,56.12066,56.12085,75.48859,75.48859
17,perShare,ALL,81.49843,81.49843,15.38231,15.96343,1.05956,1.05956,1.528,1.96,1.96,38.32721,14.2535,14.3048,14.02699,14.06467,14.02699,14.06467,14.47811,11.7185,134.1019,134.0718,73.52038,73.52038
18,perShare,ADBE,21.83144,21.66667,7.50873,8.19333,8.65983,8.63561,,,0,8.75477,6.0754,6.67771,6.01013,6.60525,6.00412,6.59921,6.33064,8.79577,22.72566,23.79744,-3.90101,-3.83437
19,perShare,GOOGL,292.6511,292.6511,65.84154,65.84151,173.8616,173.8616,,,0,68.11048,49.58591,49.60873,49.16284,49.18188,49.16284,49.18188,51.26832,44.33716,231.7023,231.7022,259.8139,259.8139
20,perShare,ACN,22.64201,24.26174,8.40379,9.59851,9.63256,8.52922,2.448,2.92,3.06,11.92468,7.48962,7.80484,7.36046,7.69894,7.36046,7.69894,7.36046,6.13448,66.46369,69.05828,11.56956,12.33545
21,perShare,ABBV,-5.52569,-5.52569,6.67049,6.66936,26.99553,26.99553,2.946,4.28,4.28,10.48139,5.29507,5.29069,5.28437,5.28052,5.28437,5.28052,5.75749,4.31598,22.41644,22.41267,-28.68664,-28.68664
23,perShare,LLY,2.72254,2.72254,6.27402,6.27419,2.54667,2.54667,2.19,2.58,2.58,7.50498,4.98132,5.03028,4.95669,5.0045,8.89018,8.74485,5.70063,1.14711,23.85367,23.85431,-8.03164,-8.03164
24,perShare,AGN,177.0347,177.0347,2.41945,2.41964,18.0003,18.0003,,2.96,2.96,18.45551,-16.02128,-15.98465,-16.02128,-15.98465,-16.02128,-15.98465,-6.44362,17.72414,48.90243,48.90615,-66.8451,-66.8451
25,perShare,APA,8.65547,8.65547,-2.65782,-2.65959,0.65681,0.65681,1,1,1,8.06105,-9.4244,-9.42474,-9.4244,-9.42474,-9.4244,-9.42474,-4.19854,-1.14134,16.75066,16.76178,8.65547,8.65547
26,perShare,ADP,12.43643,12.42334,6.17527,6.68543,4.51336,3.49143,2.308,2.96,3.16,8.46537,5.27195,5.68895,5.24063,5.65784,5.23949,5.65784,5.58387,2.06294,32.39305,33.33249,4.61861,4.50903
28,perShare,AKAM,22.57987,22.57987,5.58904,5.58904,9.48757,9.48757,,,0,6.22333,2.93803,2.93863,2.9047,2.9049,2.9047,2.9049,3.09388,3.01524,17.58257,17.58257,11.59415,11.59415
29,perShare,NLY,11.04255,11.04255,-1.56414,-1.57671,1.29412,1.29412,1.18,1.1,1.1,-1.47563,-1.6025,-1.59101,-1.6025,-1.59101,-1.6025,-1.59101,-1.59376,-2.91869,0.64753,0.6476,10.97768,10.97768
31,perShare,ATVI,16.65669,16.65669,2.68742,2.68784,7.62136,7.62136,0.3,0.37,0.37,2.99125,1.95958,1.96107,1.94942,1.94937,1.94942,1.94937,2.10699,2.22366,8.41634,8.41361,3.19475,3.19475
32,perShare,ADSK,-0.634,-0.634,1.56764,1.54033,8.40337,8.40337,,,0,2.12168,1.02003,0.97555,1.00719,0.96033,0.96404,0.96033,1.0089,6.13745,14.71596,14.75575,-13.04512,-13.04512
33,perShare,ADM,34.48474,34.48474,4.26726,4.26726,1.52962,1.52962,1.268,1.4,1.4,4.70442,2.51865,2.52222,2.50973,2.51081,2.44071,2.4418,3.06763,-12.5115,114.4354,114.4354,24.6535,24.6535
34,perShare,BMH.AX,0.00995,0.00879,-0.00215,0.00455,0.00123,0.0015,,,0,0.003,-0.00384,0.00011,-0.00384,0.00011,-0.00384,0.00011,-0.00536,0.00485,0.03148,0.0297,0.00991,0.00876
35,perShare,WBA,26.25791,26.64258,6.48728,6.31822,1.14252,0.9132,1.53,1.76,1.7775,8.4397,4.32122,4.07216,4.31186,4.06528,4.31186,4.06528,5.26064,3.24384,148.2036,151.2016,-4.38358,-4.7225
36,perShare,ARNA,21.35628,21.35628,7.75249,7.98045,14.7409,14.7409,,,0,9.96694,7.9864,8.07338,7.68995,7.63985,7.68995,7.63985,7.9106,11.22782,15.59888,16.05757,21.35628,21.35628
37,perShare,LUV,18.94178,18.94178,6.47124,6.4761,7.84489,7.84489,0.468,0.7,0.7,7.75313,4.21747,4.22227,4.20965,4.21694,4.26716,4.27576,4.20965,4.80371,41.61039,41.62784,16.50277,16.50277
38,perShare,ACAD,4.50255,4.50255,-1.57945,-1.57951,4.49156,4.49156,,,0,-1.65618,-1.59824,-1.60399,-1.59824,-1.60399,-1.59824,-1.60399,-1.59824,-1.03441,2.30352,2.30361,4.4859,4.4859
39,perShare,PANW,16.3874,16.1334,0.76085,0.00623,28.95764,31.4333,,,0,0.53714,-0.86667,-1.79806,-0.86667,-1.79806,-0.86667,-1.79806,-0.80063,9.24987,30.6836,32.42597,-0.4814,-1.93781
40,perShare,AMD,2.41624,2.41624,0.49107,0.49118,1.28462,1.28462,,,0,0.71891,0.30064,0.29485,0.29286,0.28908,0.30446,0.3003,0.39363,0.24648,6.00982,6.01116,1.98974,1.98974
42,perShare,AEP,39.81448,39.81448,8.98697,8.9954,0.90961,0.90961,2.41,2.71,2.71,10.81618,3.89127,3.89173,3.87861,3.88072,3.87861,3.88072,4.08386,-6.5144,31.41773,31.44721,39.70824,39.70824
43,perShare,ALXN,50.93448,50.93448,12.37144,12.3797,12.42431,12.42431,,,0,11.15112,10.77195,10.78715,10.69528,10.71462,10.69528,10.71462,10.71174,8.52081,22.2024,22.21723,13.05965,13.05965
45,perShare,AVGO,62.66583,61.07268,20.3222,20.54654,12.70101,16.15038,5.034,10.6,11.2,23.6969,6.80151,6.3818,6.46062,6.04763,6.43198,6.0548,7.72184,11.70883,53.93079,54.09547,-73.68593,-101.6767
46,perShare,EA,17.88926,24.86942,3.81373,10.00336,18.27181,19.25086,,,0,4.74832,3.36304,9.56103,3.33007,9.50429,3.33007,9.50429,3.37327,5.91611,16.17647,18.08054,11.24832,18.15464
50,perShare,APD,50.14898,52.36578,12.99549,13.78168,10.95523,10.90319,3.748,4.52,4.58,15.1425,7.93282,8.57397,7.88628,8.52154,7.94224,8.50712,8.07932,-0.27261,40.24774,40.32714,44.6294,46.78299
51,perShare,AMBA,13.25437,13.25437,-1.00234,-1.00234,11.97281,11.97281,,,0,-1.14915,-1.3539,-1.35774,-1.3539,-1.35774,-1.3539,-1.35774,-1.3539,1.1363,6.91377,6.91377,11.94018,11.94018
54,perShare,ANF,16.87158,16.87158,,1.30359,10.69629,10.69629,0.8,0.8,0.8,3.99968,0.61088,0.65887,0.59835,0.63116,0.59835,0.63116,1.32639,,55.08032,55.78142,16.87158,16.87158
55,perShare,LULU,14.294,14.294,6.16545,6.16646,8.00657,8.00657,,,0,8.03749,4.95116,4.95248,4.92991,4.93117,4.92991,4.93117,4.92991,2.94962,30.38674,30.38674,14.11518,14.11518
56,perShare,RAD,21.96923,18.51661,-5.84766,-0.85601,2.67241,5.27684,,,0,9.2906,-12.6188,-7.20663,-12.6188,-7.21164,-7.98829,-7.57116,-6.39291,-7.18077,409.4214,406.143,-6.85264,-8.51114
57,perShare,BRK.AX,0.00791,0.00816,,,0.0012,0.0007,,,0,-2e-05,-0.0013,-0.00082,-0.0013,-0.00082,-0.0013,-0.00082,-0.00217,-0.00514,0,0.00109,0.00791,0.00816
59,perShare,AGNC,20.41228,20.41228,,,1.53633,1.53633,2.352,2,2,1.27049,1.16167,1.15843,1.15996,1.14879,1.15996,1.14879,1.15996,0.07571,5.39342,5.39218,19.43982,19.43982
60,perShare,JBLU,17.01773,17.01773,3.66622,3.66868,4.70922,4.70922,,,0,4.49363,1.91841,1.93243,1.90684,1.92057,1.90684,1.92057,1.9416,0.98256,27.12466,27.1395,16.65603,16.65603
61,perShare,A,15.3657,15.63871,4.1195,3.25515,4.47249,3.95484,0.5216,0.641,0.656,4.09192,3.41083,2.45166,3.36792,2.42259,3.36792,2.42259,3.61116,1.22979,16.23585,16.59588,0.15534,0.64516
62,perShare,ORLY,5.25452,5.25452,21.3647,21.36346,0.53434,0.53434,,,0,28.17239,18.069,18.07833,17.88248,17.89202,17.88248,17.89202,17.88248,13.88851,130.4827,130.4751,-7.1578,-7.13414
63,perShare,FOLD,1.86528,1.86528,-1.46249,-1.46294,1.77255,1.77255,,,0,-1.24513,-1.48235,-1.51297,-1.48235,-1.51297,-1.48235,-1.51297,-1.37252,-1.12516,0.75799,0.75823,1.00082,1.00082
64,perShare,AZO,-71.29757,-72.85077,77.58954,81.08487,7.33422,6.51269,,,0,105.9756,64.42446,67.14352,63.08028,65.5019,63.42541,65.41452,63.08028,59.54369,465.2813,488.4696,-84.12147,-85.89301
66,perShare,AN,35.39036,35.39036,6.97569,6.97376,0.47007,0.47007,,,0,10.86993,5.00333,5.00378,4.98122,4.97814,4.97238,4.96929,4.81778,5.52223,235.7536,235.6885,12.07174,12.07174
68,perShare,AES,4.51237,4.51237,2.53973,2.53973,2.15226,2.15226,0.4772,0.546,0.546,4.8021,0.45482,0.45571,0.45277,0.45277,0.45427,0.45427,0.73855,-0.55922,15.27586,15.27586,2.211,2.211
71,perShare,ARR,24.40184,24.40184,,,3.08091,3.08091,2.726,2.16,2.16,-4.32223,-4.59148,-4.66311,-4.59148,-4.66311,-4.59148,-4.66311,-4.59148,-3.12751,1.32803,1.32835,24.40184,24.40184
72,perShare,BDX,77.9544,78.18621,11.9516,10.51209,2.09298,2.0946,2.808,3.08,3.1,19.07302,3.82303,2.43481,3.7558,2.39515,3.93777,2.76524,6.58976,6.73402,62.92421,63.40866,-63.87298,-62.53569
73,perShare,AKS,0.47882,0.47882,0.91061,0.91184,0.09798,0.09798,,,0,1.38657,0.03547,0.03546,0.03538,0.03496,0.03538,0.03496,0.19641,0.22488,20.08654,20.11354,-0.44848,-0.44848
74,perShare,AB,15.82735,15.82735,,,,,2.202,2.32,2.32,2.77606,2.48804,2.4878,2.4869,2.48675,2.4869,2.48675,2.4869,0.00281,2.77596,2.77606,15.82735,15.82735
75,perShare,ACOR,6.51599,6.51599,-5.01696,-5.01764,2.63807,2.63807,,,0,0.01057,-5.7452,-5.7483,-5.7452,-5.7483,-5.7452,-5.7483,-2.7014,-4.60089,4.04967,4.04978,-1.91838,-1.91838
77,perShare,AFL,39.84491,39.84491,4.48133,,6.73644,6.73644,0.922,1.08,1.08,9.73661,4.45035,4.4466,4.4264,4.42262,4.4264,4.42262,4.45727,6.27494,29.92645,29.92654,39.84491,39.84491
78,perShare,ADI,31.79232,31.74601,5.83114,5.43032,0.41388,1.77722,1.798,2.1,2.16,6.5135,3.68372,3.26599,3.64679,3.23427,3.64679,3.2407,3.88215,3.20022,16.06739,15.43592,-12.93751,-12.60286
80,perShare,ACIW,9.74225,9.74225,1.5993,1.60675,1.04666,1.04666,,,0,2.27522,0.57725,0.57893,0.56559,0.56011,0.56559,0.56011,0.73947,0.75948,10.61216,10.66154,-6.39768,-6.39768
81,perShare,AMP,46.22427,46.22427,15.27206,15.2619,30.87804,30.87804,3.218,3.81,3.81,22.23121,14.11633,14.1419,13.91912,13.94271,13.91912,13.94271,16.3824,12.45359,94.77941,94.76199,35.89662,46.22427
83,perShare,AMTD,15.99265,16.16821,4.45422,4.09968,5.24265,4.71534,0.808,1.2,1.21,5.44631,3.97838,3.60438,3.96409,3.59133,3.96409,3.59133,3.88289,6.27277,10.80072,10.49751,6.00919,6.18484
84,perShare,AEO,7.47249,7.47249,2.18579,2.18259,2.49669,2.49669,0.5175,0.55,0.55,2.90057,1.12696,1.12607,1.11933,1.11943,1.11933,1.11943,1.50629,0.64783,25.21383,25.23392,7.15508,7.15508
85,perShare,AWK,33.85268,33.85268,6.64641,6.64641,0.33183,0.33183,1.636,1.955,1.955,9.8674,3.43094,3.43095,3.43094,3.43095,3.43094,3.43095,3.58745,-3.44751,19.94475,19.94475,25.18073,25.18073
88,perShare,ALK,35.21129,35.21129,9.59055,9.58804,12.36582,12.36582,1.156,1.4,1.4,12.21832,6.23788,6.23729,6.18719,6.18341,6.18719,6.18341,6.56534,6.86124,70.64986,70.63139,18.42272,18.42272
89,perShare,PAA,17.9416,17.9416,3.22875,3.2024,0.06181,0.06181,1.987,1.38,1.38,3.24204,2.70564,2.70627,2.64875,2.63601,2.64875,2.63601,2.68272,0.05823,42.08625,41.70921,13.48161,14.45273
91,perShare,ARCC,17.32483,17.32483,,,0.40835,0.40835,1.566,1.68,1.68,1.93563,1.85714,1.85609,1.85714,1.85609,1.85714,1.85609,1.85714,-4.45641,3.57845,3.57636,17.32483,17.32483
92,perShare,AAP,51.26359,51.26359,10.19175,10.19686,6.04728,6.04728,0.24,0.24,0.24,13.95881,6.87037,6.86361,6.84179,6.83525,6.84179,6.83525,7.6711,5.31554,136.4295,136.5033,26.67964,26.67964
93,perShare,NAT,4.04416,4.04416,0.37604,0.37396,0.33738,0.33738,0.69,0.1,0.1,0.66915,-0.07261,-0.07393,-0.07261,-0.07588,-0.07261,-0.07588,-0.07261,0.16238,1.23061,1.22376,4.04416,4.04416
95,perShare,AIV,11.95988,11.95988,5.95403,5.96811,0.95981,0.95981,1.44049,1.57216,1.57216,3.71876,3.15563,3.1938,3.15081,3.18888,3.15081,3.18888,-0.16965,-2.84168,6.18,6.19461,11.40472,11.95988
96,perShare,AGIO,9.36429,9.36429,-6.7237,-6.72384,8.2583,8.2583,,,0,-6.97155,-6.85849,-6.8683,-6.85849,-6.8683,-6.85849,-6.8683,-6.85849,-6.3806,1.96538,1.96542,9.36429,9.36429
97,perShare,AEE,32.73355,32.73355,7.43019,7.44158,0.06499,0.06499,1.783,1.92,1.92,9.19373,3.37134,3.37129,3.35087,3.34993,3.35087,3.34993,3.35087,-3.01062,23.91744,23.91502,31.06418,31.06418
99,perShare,AVXL,0.38537,0.4548,,,0.42138,0.48105,,,0,-0.57495,-0.53766,-0.50662,-0.53766,-0.50662,-0.53766,-0.50662,-0.53766,-0.39381,0,0,0.38537,0.4548
100,perShare,ARLP,9.87656,9.87656,5.58866,5.58869,0.28745,0.28745,2.149,2.145,2.145,4.55652,3.11758,3.11632,3.11758,3.11632,3.11758,3.11632,2.29642,-0.5416,15.31198,15.31206,8.72565,8.80183
101,perShare,ANTM,125.4457,125.4457,24.11833,22.7161,19.51984,19.51984,2.8,3.2,3.2,30.29581,18.81409,18.79558,18.46715,18.44862,18.46715,18.44862,18.61835,16.00461,400.5378,400.5378,10.09797,10.09797
105,perShare,ABC,13.92391,14.3583,6.16351,5.27105,16.31932,15.70917,1.42,1.6,1.6,12.03668,3.89392,3.10435,3.86313,3.08185,4.03779,3.08185,6.87287,6.49848,847.7583,861.6782,-29.60634,-28.63052
107,perShare,ATI,16.57687,16.57687,2.87509,2.9751,3.8926,3.8926,,,0,3.68497,2.04769,2.04655,1.84573,1.83742,1.84573,1.83742,1.61812,0.43581,28.13993,29.11884,11.64291,12.40668
108,perShare,ADT,4.22542,4.22542,2.09429,2.09416,0.06467,0.06467,,0.14,0.14,3.01167,-0.56762,-0.56905,-0.56762,-0.56905,-0.56762,-0.56905,-0.41377,-0.08361,6.85947,6.85906,-11.20579,-11.20579
109,perShare,AVB,78.13737,78.13737,10.37232,10.37203,0.28218,0.28218,5.536,6.03,6.03,10.70243,5.63745,5.62874,5.61655,5.60782,5.61655,5.60782,4.47601,-8.10501,16.65544,16.65496,78.13737,78.13737
111,perShare,ALNY,12.82394,12.82394,-7.95267,-8.00034,13.69275,13.69275,,,0,-8.49121,-8.10986,-8.13673,-8.10986,-8.13673,-8.10986,-8.13673,-8.10986,-3.85389,2.01118,2.02324,12.82394,12.82394
112,perShare,LH,77.84979,77.84979,14.22008,14.22188,3.47222,3.47222,,,0,20.92557,8.41471,8.43791,8.35497,8.37784,8.35497,8.37784,9.57252,10.59465,117.1886,117.2035,-44.57305,-44.57305
113,perShare,AVY,14.44219,14.44219,5.70824,5.72676,3.04318,3.04318,1.818,2.26,1.68,11.84774,3.61429,3.62835,3.57176,3.56622,3.57176,3.56622,7.37465,3.53615,83.17765,83.44762,-0.07317,1.75969
115,perShare,ASH,59.33495,60.16849,5.42857,6.448,3.85486,2.60592,1.25,1.05,1.075,8.16,0.85484,2.19705,0.84127,2.14095,8.01587,9.30042,1.57438,0.688,39.57143,39.2,3.72193,4.6309
119,perShare,AINV,19.05755,18.27137,,,0.52674,0.54564,2.10001,1.8,1.8,2.04623,1.0184,0.91703,1.0184,0.91703,1.0184,0.91703,1.0184,-10.59648,3.61063,3.92536,19.05755,18.27137
121,perShare,ACHN,1.91767,1.55275,-0.49931,-0.52834,1.95347,1.09863,,,0,-0.56919,-0.50768,-0.5367,-0.50768,-0.5367,-0.50768,-0.5367,-0.49395,-0.43332,0,0,1.91767,1.55275
123,perShare,ABMD,20.76303,23.20543,5.91833,5.73872,10.89684,9.4771,,,0,5.98636,5.76732,5.42883,5.61236,5.33086,5.61236,5.33086,5.61236,5.58512,16.67205,18.30297,19.7035,21.99791
124,perShare,ABM,23.16309,23.36524,3.5142,3.69277,0.87876,1.04565,0.675,0.715,0.72,5.06488,1.91441,2.13818,1.90583,2.12853,1.90583,2.12705,2.03911,2.38926,97.13901,96.99478,-8.87167,-8.40412
126,perShare,LIFE,5.44377,5.44377,-6.89236,-6.90178,8.00249,8.00249,,,0,-6.66752,-7.03391,-7.34274,-7.03391,-7.34274,-7.03391,-7.34274,-7.03391,-5.99579,0.12576,0.12593,5.44377,5.44377
127,perShare,ATO,48.18397,50.11987,7.68648,7.82023,0.20572,1.54808,1.816,2.1,2.15,9.7478,4.35998,4.46743,4.35029,4.45472,4.35029,4.45472,4.35029,-9.10612,24.70478,24.30711,42.06102,44.14333
129,perShare,AON,14.54115,14.54115,8.88612,8.88704,26.20422,26.20422,1.426,1.72,1.72,13.289,6.42498,6.40703,6.37157,6.35772,6.36741,6.35354,7.9485,4.98805,45.77307,45.77782,-24.0112,-24.0112
130,perShare,ADXS,0.78744,0.68975,-0.99483,-1.32909,0.64466,0.56703,,,0,-1.28791,-1.09235,-2.99303,-1.09235,-2.99303,-1.09235,-2.99303,-1.02366,-1.22078,1.37326,0.04441,0.69631,0.61521
131,perShare,ADC,37.06818,37.06818,3.11989,3.12169,0.34237,0.34237,2.018,2.25,2.25,3.65412,1.9642,1.96277,1.93341,1.93224,1.93341,1.93224,1.65154,-16.89636,4.54783,4.55051,29.53061,29.53061
133,perShare,SAVE,33.03384,33.03384,7.25149,7.25154,15.83928,15.83928,,,0,9.93333,4.89931,4.89901,4.89002,4.8894,4.89002,4.8894,5.09246,3.16203,55.87211,55.87252,33.03384,33.03384
135,perShare,AKRX,1.85731,1.85731,-1.24185,-1.23961,1.14791,1.14791,,,0,0.08457,-1.80009,-1.80139,-1.80009,-1.80342,-1.80009,-1.80342,-1.13794,-0.53472,5.41709,5.40985,-1.97733,-1.97733
136,perShare,ADS,33.36765,33.36765,15.49902,15.83342,81.39496,81.39496,,2.52,2.52,35.0848,10.656,10.86182,10.46758,10.77279,5.27308,5.37479,13.20956,19.02659,109.6523,112.0181,10.08613,10.08613
138,perShare,AYI,48.63767,50.28339,10.46482,10.01388,11.6848,6.74561,0.52,0.52,0.52,13.43849,8.267,7.73153,8.24623,7.71202,8.30151,7.76765,8.32968,10.62713,92.27889,90.21577,12.30833,6.33318
141,perShare,AMT,11.41457,11.41457,8.11052,8.11175,3.38955,3.38955,2.58,3.61,3.61,10.51739,4.26796,4.26726,4.2373,4.23729,4.2373,4.23729,4.70708,2.60028,17.0145,17.01707,-30.34907,-30.34907
143,perShare,ACM,23.43476,23.21861,0.482,0.26227,7.00745,4.58579,,,0,5.70999,-1.67182,-1.83501,-1.67182,-1.85144,-1.66227,-1.73828,1.31331,4.16222,128.4565,115.4402,-11.54235,0.54761
145,perShare,ATRS,0.32986,0.32986,0.00326,0.00323,0.27673,0.27673,,,0,0.02165,-0.01247,-0.01318,-0.01247,-0.01338,-0.01247,-0.01338,-0.01247,-0.0791,0.76189,0.75567,0.32034,0.32034
146,perShare,ARW,59.68642,59.68642,-0.10384,-0.10334,3.72244,3.72244,,,0,15.59429,-2.42182,-2.33068,-2.42182,-2.35788,-2.44217,-2.37601,5.45001,8.42136,346.0277,344.3486,30.7454,30.7454
147,perShare,ARI,17.12923,17.12923,,,2.94575,2.94575,1.816,1.84,1.84,1.41627,1.41463,1.42797,1.40403,1.35275,1.40403,1.35275,1.40403,-0.09334,2.77259,2.55998,17.12923,17.12923
149,perShare,AR,23.5545,23.5545,2.02915,2.02885,,,,,0,4.10523,-1.11008,-1.15531,-1.11008,-1.15631,-1.11008,-1.15631,-0.62145,-3.06166,14.38867,14.38657,23.5545,23.5545
151,perShare,AMC,11.69188,11.69188,2.89795,2.69255,2.55176,2.55176,0.8,0.8,0.8,6.13676,-1.43597,-1.43651,-1.43597,-1.54772,-1.43597,-1.54772,-0.81121,-0.2076,52.69089,48.95629,-37.41941,-36.30433
152,perShare,AL,49.61209,49.61209,11.30086,11.30239,2.80095,2.80095,0.338,0.54,0.54,16.56044,5.14018,5.13761,5.08605,5.08498,5.08605,5.08498,5.08605,-23.28073,17.83508,17.8375,49.61209,49.61209
153,perShare,AGEN,-1.43986,-1.43986,-0.77867,-0.75246,0.44848,0.44848,,,0,-0.45442,-0.79911,-0.78335,-0.79911,-0.80144,-0.79911,-0.80144,-0.79911,-0.16709,1.11161,1.07419,-1.68433,-1.68433
154,perShare,AAN,26.03881,26.03881,30.72797,30.88559,0.86566,0.86566,0.1158,0.145,0.145,35.07775,0.46748,0.45383,0.45857,0.41501,0.45857,0.41501,2.46491,3.14562,57.52001,57.81507,12.13886,12.13886
155,perShare,WTR,11.28275,17.89647,1.89658,1.5362,0.02037,9.40826,0.70134,0.8474,0.8913,2.33396,1.07741,0.70464,1.07442,0.70294,1.07617,0.70469,1.07182,-2.09717,4.69785,4.29972,10.98669,17.65229
157,perShare,BAH,4.82308,6.52116,3.20853,3.6219,2.0281,4.96601,0.624,0.8,0.96,5.19979,2.73944,3.0791,2.71568,3.05301,2.91063,3.05301,2.73506,2.26569,46.83023,51.47493,-8.51863,-6.8729
158,perShare,AXAS,0.99878,1.01884,0.60288,0.66169,0.0052,0.04239,,,0,0.50286,0.34909,0.35279,0.34481,0.35061,0.34481,0.35061,0.34589,-0.36897,0.88955,0.81677,0.99878,1.01884
159,perShare,AVT,39.79779,39.83279,3.36042,2.76098,5.2491,4.92015,0.712,0.8,0.82,5.93,1.7384,1.00261,1.72305,0.99128,1.59152,0.94388,3.46938,7.29717,176.1638,176.5664,29.99127,29.41248
160,perShare,ALB,37.0827,37.0827,6.47354,6.47355,5.78187,5.78187,1.2755,1.4375,1.4375,8.56378,5.03287,5.03311,5.01527,5.01529,5.01527,5.01529,5.50211,-2.67705,33.76028,33.76036,18.8499,18.8499
161,perShare,AIZ,94.29837,94.29837,7.92606,7.75524,31.14642,31.14642,2.052,2.43,2.43,67.52818,5.87476,5.86087,5.83983,5.60791,5.83983,5.60791,6.22044,17.79198,161.9136,158.4241,46.19499,46.19499
162,perShare,SAIC,24.43103,24.43103,6.22034,6.22561,3.24138,3.24138,1.27,1.42,1.42,9.29601,3.86986,3.86889,3.83051,3.83481,3.83051,3.83481,4.37336,5.93723,108.1186,108.2104,-24.7069,-24.7069
163,perShare,CAR,8.86486,8.86486,36.0502,36.13373,9.27027,9.27027,,,0,43.11155,4.01596,4.04748,3.98943,4.02144,3.98943,4.02144,4.16116,-139.7021,121.1625,121.4432,-16.7973,-16.7973
167,perShare,APH,15.20745,15.20745,4.79409,4.79338,3.05002,3.05002,0.73,0.96,0.96,6.35414,3.88235,3.88252,3.75122,3.75054,3.75122,3.75054,3.85155,3.01307,26.71452,26.71235,-2.6143,-2.6143
