,metricType,symbol,metric.bookValuePerShareAnnual,metric.bookValuePerShareQuarterly,metric.cashFlowPerShareAnnual,metric.cashFlowPerShareTTM,metric.cashPerSharePerShareAnnual,metric.cashPerSharePerShareQuarterly,metric.dividendPerShare5Y,metric.dividendPerShareAnnual,metric.dividendsPerShareTTM,metric.ebitdPerShareTTM,metric.epsBasicExclExtraItemsAnnual,metric.epsBasicExclExtraItemsTTM,metric.epsExclExtraItemsAnnual,metric.epsExclExtraItemsTTM,metric.epsInclExtraItemsAnnual,metric.epsInclExtraItemsTTM,metric.epsNormalizedAnnual,metric.freeCashFlowPerShareTTM,metric.revenuePerShareAnnual,metric.revenuePerShareTTM,metric.tangibleBookValuePerShareAnnual,metric.tangibleBookValuePerShareQuarterly
1060,perShare,LMFA,1.85879,1.48493,-0.40523,-0.50239,1.12665,0.90178,,,0,-0.45141,-0.47372,-0.53601,-0.47372,-0.53601,-0.47372,-0.53601,-0.8399,-0.41936,3.40073,1.09207,1.85879,-0.33036
1061,perShare,LGI,,,,,,,,,,,,,,,,,,,0,,,
1062,perShare,LER.AX,-0.00188,-0.00312,-0.01755,-0.00764,0.00094,0.00076,,,0,-0.01061,-0.02297,-0.0116,-0.02297,-0.0116,-0.02297,-0.0116,-0.02297,-0.00318,0.00122,0.00112,-0.00188,-0.00312
1063,perShare,LCT.AX,0.00724,0.00697,-0.00548,,0.00859,0.00609,,,0,-0.00578,-0.00557,-0.00327,-0.00557,-0.00327,-0.00557,-0.00327,-0.00546,-0.00512,0.00135,0.00119,0.00724,0.00697
1064,perShare,LAU.AX,0.31701,0.31995,0.10365,0.11747,0.05882,0.03937,0.0196,0.021,0.021,0.15527,0.03004,0.03118,0.03004,0.03118,0.03004,0.03118,0.03013,0.0851,1.31908,1.35552,0.28465,0.28851
1065,perShare,LAME4.SA,3.21279,3.21279,1.21009,1.27062,6.59424,6.59424,0.10804,0.16743,0.16743,2.22507,0.43786,0.43571,0.43606,0.4347,0.43606,0.4347,0.44487,0.46999,11.74074,11.73602,0.74289,0.74289
1066,perShare,KOV.AX,2.76651,2.76651,0.38906,0.38906,0.30426,0.30426,0.192,0.22,0.22,0.49441,0.25856,0.25856,0.258,0.25784,0.258,0.25784,0.258,-0.17997,5.43676,5.43676,2.76651,2.76651
1067,perShare,KME.AX,0.26013,0.26117,0.08862,0.10842,0.15592,0.02617,0.024,0.04,0.04,0.12734,0.05888,0.05676,0.05536,0.0534,0.05536,0.0534,0.05149,-0.02055,0.33952,0.37193,-0.01302,-0.04023
1068,perShare,KBC.AX,0.07128,0.05825,-0.02288,,0.05477,0.04437,,,0,-0.01021,-0.02288,-0.02763,-0.02288,-0.02763,-0.02288,-0.02763,-0.01995,-0.01829,0.00813,0.00618,0.07128,0.05825
1069,perShare,JMLP,5.20981,5.20981,,,,,0.992,0.75,0.75,-0.16196,-0.95977,-0.95977,-0.95977,-0.95977,-0.95977,-0.95977,-0.95977,0.71394,0.03261,0.03261,5.20981,5.20981
1070,perShare,IVX.DE,4.55478,4.81506,0.1559,0.44395,0.29998,1.61186,0.3,0,0,0.69605,-0.10649,0.10763,-0.10649,0.10763,-0.10649,0.10763,-0.10649,0.67595,5.84637,5.78306,4.40504,3.97481
1071,perShare,IRI.AX,0.4063,0.44105,0.19282,0.19663,0.05421,0.04418,0.0685,0.0725,0.0725,0.23288,0.12719,0.12777,0.12696,0.12747,0.12696,0.12747,0.12696,-0.01086,0.58579,0.6019,0.27188,0.28744
1073,perShare,HLDX.ST,34.77061,34.77061,,7.44277,7.12605,7.12605,0.74,0,0,11.60528,0.02262,0.02262,0.02262,0.02262,0.02262,0.02262,3.13999,-2.35273,116.5279,116.5505,16.6727,16.6727
1074,perShare,HIL.AX,0.22569,0.23384,-0.00952,0.00613,0.04684,0.0379,,,0,0.04475,-0.03805,-0.02773,-0.03805,-0.02773,-0.03805,-0.02773,0.00822,-0.00053,1.15249,1.1284,0.21676,0.22153
1076,perShare,HCAC,0.00352,39.36485,,,0.00096,0.17365,,0,,,-0.0001,,-0.0001,,-0.0001,,-0.0001,,0,,0.00352,39.36485
