,metricType,symbol,metric.currentEv/freeCashFlowAnnual,metric.currentEv/freeCashFlowTTM,metric.currentRatioAnnual,metric.currentRatioQuarterly,metric.freeCashFlowAnnual,metric.freeCashFlowTTM,metric.longTermDebt/equityAnnual,metric.longTermDebt/equityQuarterly,metric.netInterestCoverageAnnual,metric.netInterestCoverageTTM,metric.payoutRatioAnnual,metric.payoutRatioTTM,metric.quickRatioAnnual,metric.quickRatioQuarterly,metric.totalDebt/totalEquityAnnual,metric.totalDebt/totalEquityQuarterly
9842,financialStrength,0263.HK,,,0.90578,0.84355,-177.289,-30.555,131.8597,313.9012,-0.81042,-0.32076,,,,,890.2637,1999.473
9843,financialStrength,1126.HK,,20.49537,2.22931,2.22931,,,0.6062,0.6062,90.31744,90.2699,17.92198,4.13585,1.54793,1.54793,6.42077,6.42077
9844,financialStrength,0226.HK,32.86931,7.71254,2.05654,1.32195,179.183,-299.365,14.09085,10.0716,-0.06824,,,21.45794,1.99159,1.26544,26.71904,21.2027
9846,financialStrength,0112.HK,21.61327,76.29447,0.53453,0.37487,193.438,-296.957,163.3065,104.4449,,,0,0,0.13372,0.1199,203.2781,197.8192
9847,financialStrength,2310.HK,,,0.36006,0.36006,,,84.06414,84.06414,-5.11586,-5.11586,,,0.35179,0.35179,159.3505,159.3505
9848,financialStrength,0032.HK,,0.0752,8.16447,8.16447,,,1.58608,1.58608,,,21.52175,6.14899,8.16321,8.16321,2.33761,2.33761
9849,financialStrength,0345.HK,,,1.21338,1.14039,-10.49,-112.659,0,5.39931,133.5997,63.98648,63.78697,62.41311,0.8862,0.8986,1.40607,9.58208
9850,financialStrength,0056.HK,,17.11791,2.58332,2.58332,,,27.18166,27.18166,,,19.6792,0,2.58331,2.58331,47.14038,47.14038
9851,financialStrength,0018.HK,,7.18179,10.57325,8.96786,-730.488,105.313,0,0,,,88.38895,56.18125,9.8804,8.37539,0.36784,0.35272
9852,financialStrength,1058.HK,,,3.00699,3.00699,,,904.3956,904.3956,-5.35985,-5.38452,,,1.72434,1.72434,924.4172,924.4172
9853,financialStrength,0119.HK,,13.21211,1.80483,1.80483,,,150.1268,150.1268,10.72926,10.72553,19.96534,0,0.60853,0.60853,197.5307,197.5307
9854,financialStrength,0727.HK,,154.8458,4.88925,2.71238,-302.879,-365.346,29.49205,25.30628,,,0,0,1.49846,0.76518,29.49205,32.24329
9855,financialStrength,0103.HK,,12.61254,1.27619,1.27619,,,14.88581,14.88581,2.6424,2.60038,17.20809,0,1.07847,1.07847,47.34423,47.34423
9856,financialStrength,0040.HK,96.46335,6.84116,1.03993,1.00976,-242.198,131.577,82.89588,82.03355,6.44445,5.03974,53.64357,16.52123,0.76801,0.73342,242.7816,239.6201
9860,financialStrength,O2C.DE,8.58094,,4.32112,,-0.257,,56.63427,,,,0,0,3.74169,,56.63427,
9863,financialStrength,HNT.L,19.31749,19.31749,1.18553,1.18553,33.889,33.889,69.18239,69.18239,7.85961,7.85961,47.4117,47.34705,1.11876,1.11876,74.60287,74.60287
9864,financialStrength,I07.SI,8.76029,8.76029,2.15583,2.15583,4.206,4.206,5.50264,5.50264,11.6696,10.18931,0,0,1.46188,1.5914,19.80425,19.80425
9865,financialStrength,H20.SI,,,0.90997,0.90997,4.482,4.482,22.24401,22.24401,-13.77639,-13.77639,,,0.47728,0.47728,72.50315,72.50315
9868,financialStrength,HPI.AX,29.07297,,0.06801,0.22904,12.434,14.424,61.66074,60.65362,,,58.9829,61.54576,,,61.66074,60.67527
