,metricType,symbol,metric.bookValueShareGrowth5Y,metric.capitalSpendingGrowth5Y,metric.dividendGrowthRate5Y,metric.ebitdaCagr5Y,metric.ebitdaInterimCagr5Y,metric.epsGrowth3Y,metric.epsGrowth5Y,metric.epsGrowthQuarterlyYoy,metric.epsGrowthTTMYoy,metric.focfCagr5Y,metric.netMarginGrowth5Y,metric.revenueGrowth3Y,metric.revenueGrowth5Y,metric.revenueGrowthQuarterlyYoy,metric.revenueGrowthTTMYoy,metric.revenueShareGrowth5Y,metric.tbvCagr5Y,metric.totalDebtCagr5Y
4179,growth,MTW.L,12.46186,16.00679,16.96069,15.71896,14.98705,13.41315,7.17641,5.91871,1.9435,11.34629,-0.78965,10.82602,14.77967,4.02537,0.39898,8.02924,41.30363,
4180,growth,MTPH.L,59.09693,37.30424,,,,,,83.84077,53.07769,,,12.12014,67.4971,-17.66849,72.86385,43.2895,43.18513,-17.9512
4181,growth,MONY.L,6.46093,6.02302,5.93518,8.25469,8.25469,9.70712,13.01768,1.68354,9.74489,,2.79624,7.07198,9.3754,3.90324,9.22385,9.94446,,2.79556
4182,growth,MERC.L,282.0386,25.172,,,,,112.1254,8.33333,28.19074,,33.34193,82.54222,71.34773,5.06641,3.05142,59.32372,303.0449,
4183,growth,,,,,,,,,,,,,,,,,,,
4184,growth,MARS.L,-0.68926,-1.26587,0.90503,0.19673,2.89409,,,-160.9726,-141.6089,,,9.01432,8.30175,1.32288,2.90249,6.10525,-0.69227,0.84416
4185,growth,,,,,,,,,,,,,,,,,,,
4186,growth,LSL.L,11.05833,-11.95082,-27.04175,3.86232,3.10165,-36.4333,-12.31997,23.98064,-27.71481,,-13.78148,0.35864,1.58872,-8.61199,-4.17909,1.64987,,13.8548
4187,growth,KLR.L,3.3326,13.12702,9.8268,7.82863,4.84466,,,-85.59729,-158.9046,-21.50891,,12.49849,9.11454,1.54404,4.01467,8.15833,9.79186,15.02684
4188,growth,,,,,,,,,,,,,,,,,,,
4189,growth,INF.L,20.89387,30.54674,6.78149,23.72671,23.81098,-8.65688,,-63.7228,-9.49836,26.05746,,29.05108,20.51372,4.97734,21.97932,5.9875,,25.51294
4190,growth,INCH.L,2.13848,-0.05737,4.03655,6.96448,7.60482,22.52004,14.99799,373.9891,924.4531,-4.39852,4.64318,6.16641,6.95173,-0.19084,1.10704,9.37684,-3.13456,9.98516
4191,growth,ICP.L,-0.14035,14.00605,36.2911,-2.46232,6.46526,10.39455,5.50683,16.4388,-28.94565,,6.41162,-0.80021,-1.0983,17.60155,-15.57377,-0.45435,-1.8738,24.90761
4192,growth,,,,,,,,,,,,,,,,,,,
4193,growth,HMSO.L,-2.06988,-17.07824,-31.31093,-13.75394,-13.58861,,,-14.34289,-238.5768,,,-19.43723,-8.64442,-13.96896,-18.68812,-9.48336,-2.52362,1.92361
4194,growth,HL.L,15.00913,17.64818,11.82466,8.03844,9.4376,11.74852,8.57127,12.30911,8.74978,25.34388,2.56229,7.35683,6.03928,9.04863,7.24359,5.79256,14.16332,
4195,growth,HGM.L,-1.99153,-15.38095,28.38134,3.15273,6.31172,,-1.65932,42.11365,-7.8553,,0.04925,4.05506,0.45261,18.91053,7.12035,-1.77672,1.17068,-4.15621
4196,growth,HEAD.L,5.57697,-19.86549,9.14073,8.92109,14.83416,5.55648,17.27454,-1.03532,2.5113,,13.80352,2.6962,3.27322,3.31003,3.4262,3.04961,1.91973,-26.32607
4197,growth,HCG.TO,7.2509,-15.12283,,-11.35799,-11.35799,-14.84707,-12.43252,41.97059,38.26195,,-10.8515,0.37193,-0.64476,13.78366,15.13681,-1.7578,3.85868,-5.62306
4198,growth,HAS.L,22.95,22.8362,11.03608,10.20558,8.32826,9.43581,12.82578,-21.22731,-17.13605,-34.33548,2.64353,12.7838,10.53778,2.28306,3.02024,9.92224,66.95888,
4199,growth,GVC.TO,-14.36387,18.42121,,-25.4576,-25.76626,173.7861,37.54601,-219.0537,5211.429,,38.6724,-2.40523,-5.70459,-4.05609,-1.90156,-10.67493,24.65507,-17.90619
4200,growth,GSP.MI,0.39825,22.21481,,-17.04647,-9.55737,,,248.5025,272.956,-23.98358,,-5.39054,-13.01269,8.47091,4.43653,-13.01309,,-5.03152
4201,growth,GRI.L,11.25663,104.9348,8.39599,0.63167,0.63167,6.81804,3.99319,8.9741,4.01269,,17.04523,-0.81654,-6.87931,-15.41787,-17.8392,-11.15131,17.7569,2.69007
4202,growth,GLE.L,9.1607,24.29458,33.50071,28.29758,17.63381,11.849,12.9863,-40.77251,-30.56534,,-9.13465,20.71439,25.13627,-11.24386,-0.46278,24.34434,9.7433,
4203,growth,GFS.L,-21.34156,-1.21432,1.0169,1.54226,5.56949,,,-581.3774,-215.2881,,,0.73243,2.40442,2.94424,3.34355,2.37793,,6.37917
4204,growth,,,,,,,,,,,,,,,,,,,
4205,growth,GCG.TO,13.12267,26.56316,20.8437,25.90196,25.74166,24.68133,30.48947,142.8918,692.0576,-5.73723,9.08263,15.5117,17.0748,271.8413,132.9555,20.30511,2.50347,20.20724
4206,growth,GC.TO,10.36619,93.64606,,25.3544,25.34516,34.33565,21.00702,80.97747,25.97173,-17.46743,0.57094,33.76299,24.87112,4.47368,13.87769,28.77345,6.44443,32.86352
4207,growth,CF.TO,-6.47462,-27.89144,-35.63401,8.13976,11.58693,,4.5045,-33.09754,38.28878,,-0.24557,14.75677,6.83972,-7.11279,-3.161,1.63186,-7.60325,69.49921
4208,growth,CBG.L,8.59544,12.7925,5.00815,7.85647,6.78329,2.17065,6.45455,-7.13397,-4.12844,,0.2726,4.93348,5.28951,2.86169,4.50713,6.08554,9.05425,12.22156
4209,growth,BYG.L,9.96345,57.39687,11.15838,14.0697,12.744,2.22452,12.40897,47.59144,28.90805,,4.10656,7.34826,11.67773,3.38781,5.6075,7.97502,13.62597,7.08222
4210,growth,BWY.L,16.23086,6.16931,11.67123,21.36901,15.81494,9.98912,22.79197,-6.34605,-3.30505,28.09199,5.38831,12.769,16.69551,3.58871,4.6577,16.51386,16.41611,-12.97747
4211,growth,,,,,,,,,,,,,,,,,,,
