,symbol,metric.netIncomeEmployeeAnnual,metric.revenueEmployeeAnnual,metric.receivablesTurnoverAnnual,metric.freeOperatingCashFlow/revenue5Y,metric.freeOperatingCashFlow/revenueTTM,metric.grossMargin5Y,metric.grossMarginAnnual,metric.netProfitMargin%Annual,metric.netProfitMargin5Y,metric.dividendGrowthRate5Y,metric.focfCagr5Y,metric.revenueGrowth5Y,metric.totalDebtCagr5Y,metric.netDebtAnnual,metric.peNormalizedAnnual,metric.pfcfShareAnnual,metric.currentEv/freeCashFlowAnnual,metric.freeCashFlowAnnual,metric.longTermDebt/equityAnnual,metric.netInterestCoverageAnnual,metric.payoutRatioAnnual,metric.quickRatioAnnual,metric.totalDebt/totalEquityAnnual,metric.dividendYield5Y,metric.dividendYieldIndicatedAnnual,metric.capitalSpendingGrowth5Y,metric.inventoryTurnoverAnnual
5307,VLN.TO,-4149.096,200891.5692719753,2.8178400000000003,-0.7517,-0.72634,24.36108,23.33147,-1.4703,0.6139399999999999,-21.24809,3.866754000000001,-5.59525,-0.38525,-17.605508170534986,61.734088500000006,26.522356499999994,7.557896500000001,-21.46743281060741,4.34477,-10.07194,71.20594750000001,1.22405,17.661920000000006,2.1976400000000003,2.8169,-13.96284,1.67237
5308,FVL.TO,-1008857.30445,257628.56067219103,5.6686285,-4220.772272,-12676.966230500002,-235.23424750000004,-97.8334615,-6759.164832500001,-1679.4674774999999,3.7509884999999996,10.6956165,-1.8698275000000009,8.699748000000003,-0.10059004913320524,11.502203999999997,558.4144574999999,209.42203900000004,-1.5680657425670805,0.0,-276.7299,74.9062255,3.1499755,0.0,11.611452499999999,21.3463325,-17.03714,16.3303685
5309,WSP.TO,5848.516,129934.15263830587,3.23205,4.08699,6.59145,76.34742,77.23444,3.20432,3.13477,0.0,35.96059,25.16518,25.1191,1480.8734621860829,23.93435,14.24483,20.39607,418.3777202801466,57.96806,7.0190600000000005,55.14834000000001,0.8722325,73.56491,2.54712,1.90138,26.60888,51.592947
5310,AAB.TO,291920.97069999995,238716.81087221525,87.06701750000002,-34.10032,-1489.843153,12.216674000000001,-237.48764099999988,-5504.874315999999,-547.0065,5.110285,5.3047775,14.972942500000002,16.602270499999996,-15.579917879649294,36.38829499999999,206.8736375000001,66.01810600000002,-0.12747101343093933,0.0,-136.89094500000002,37.191618000000005,4.1713665,0.0,1.9739330000000002,6.2019675,4.5228160000000015,74.93046700000001
5311,ABT.TO,22211.86,203688.7272412194,3.79691,-3.09215,0.44922,84.26306,86.87868,7.76302,4.53227,0.63242,14.242415499999998,1.68546,3.146526499999999,-36.19093996833358,33.8838,31.546159999999997,32.24969,-2.7218827265311027,10.301067499999998,-7.836472999999998,128.5925,1.6769195,14.842277000000001,3.99115,3.53982,6.78027,76.07017700000002
5312,ADN.TO,43374.44655,684195.8309671578,10.62532,-3.66079,-23.44775,34.51624,32.77227,17.316689999999998,22.79012,4.84481,4.7405170000000005,5.27574,3.74341,66.40224644691331,12.18301,47.094038,84.14884800000002,-16.70022620393391,0.0,28.519052499999997,111.7345,0.18666,35.18544,5.82228,9.65058,-23.01355,31.27645
5313,AIF.TO,7277.6,161574.81310380084,3.3749300000000004,5.33105,4.80865,36.06615000000001,33.630709499999995,3.20647,5.4973,0.0,2.38222,10.7731,4.58517,109.61966118703096,65.52964,54.61792,37.09328,19.4239171309236,17.7263,4.7086,131.6753,1.0502954999999998,59.57036,2.01464,1.62162,-11.21062,12.420238999999999
5314,AI.TO,77136000.0,94212939.01193663,41.51964649999999,23.55593,22.74712,71.4873995,70.160457,58.28535,58.22326999999999,1.5911799999999998,3.763639500000001,13.6133,9.12905,197.44908306820008,8.90311,23.79198,474.69375949999994,11.022903897937367,60.88844,3.28586,99.34142,1.186408,60.88844,6.92311,10.33295,17.962147500000004,7.716069
5315,ALS.TO,894536.6,2126119.829373629,6.820589999999998,-0.8608815000000003,5.31646,71.76658400000001,91.6129,29.95182,16.3813985,4.431004999999998,9.9786435,10.482991000000002,10.002414000000002,61.00896822870268,16.256610000000002,95.70353,47.72891,2.3172017687797806,22.80033,5.2366800000000016,46.45719,1.057666,27.99237,3.3977440000000003,2.68817,13.494851,25.6621825
5316,ALC.TO,-293500.66116,549959.607436129,9.21674,-14.0911,-20.20908,25.87963,28.11512,5.93089,5.5298,13.5556,2.1482695,3.70543,8.42109,225.21635034661958,13.1917,48.24208549999999,70.2006695,-81.70289702030313,38.62597,3.10975,182.8345,0.66209,50.75989000000001,2.58287,5.46697,54.57927,43.4992
