,metricType,symbol,metric.currentDividendYieldTTM,metric.dividendYield5Y,metric.dividendYieldIndicatedAnnual,metric.netDebtAnnual,metric.netDebtInterim,metric.pbAnnual,metric.pbQuarterly,metric.pcfShareTTM,metric.peBasicExclExtraTTM,metric.peExclExtraAnnual,metric.peExclExtraHighTTM,metric.peExclExtraTTM,metric.peExclLowTTM,metric.peInclExtraTTM,metric.peNormalizedAnnual,metric.pfcfShareAnnual,metric.pfcfShareTTM,metric.psAnnual,metric.psTTM,metric.ptbvAnnual,metric.ptbvQuarterly
0,valuation,AAPL,1.19549,1.4865,1.21122,7490,1771,12.48641,12.45436,16.01037,22.72064,21.39446,22.88814,20.08359,10.90846,20.08359,21.39446,24.84849,22.30635,4.27653,4.15656,12.296,12.42744
1,valuation,BAC,3.10881,1.5899,3.39143,265997,265997,0.77707,0.77707,6.68038,12.72367,7.71108,21.5504,7.71223,9.44032,7.71223,7.07209,3.31692,3.31692,2.03002,2.03002,0.954,0.954
2,valuation,AMZN,0.0,,,-13205,-13205,15.64551,15.64551,29.06744,78.70882,84.79971,742.5583,84.7051,75.2765,84.7051,84.79971,44.82478,44.82478,3.45995,3.45996,22.43778,20.51729
3,valuation,T,6.99828,5.34235,7.13551,151017,151017,1.14792,1.14792,4.84127,20.5786,15.3864,34.26084,15.38778,10.29827,15.38778,13.06788,14.57578,14.57578,1.15396,1.15396,,
4,valuation,GOOGL,0.0,,,-115121,-115121,3.91699,3.91699,17.13304,26.99908,23.31659,34.08456,23.30757,21.85935,23.30757,22.35903,25.44288,25.44288,4.8686,4.8686,4.40629,4.40629
