,metricType,symbol,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
2499,management,JE.TO,2.3622,2.31937,586.1703,91.60099,-63662.34,-114960.8,5.86502,6.35003,2415249,2320409,-6.22641,5.67052,,,-170.2607,-11.49091,14.52001,-13.49962,-30.22042
2501,management,HR-UN.TO,0.0788,0.0788,,,,,96.75098,96.75098,,,2.3328,2.78599,5.69288,4.77799,4.77799,2.3328,2.87093,2.38448,2.36924
2505,management,FRA,,0.05527,,,,,,4.14767,,,,,,2.69991,,1.83775,,,1.92303
2506,management,FPC.V,0,0,,,,,,,,,-6.51383,-9.15981,-13.11037,-10.19352,-9.98795,-6.35097,-11.44614,-7.98155,-8.02313
2507,management,EQBK,,,,,41457.05,,,,244483,,0.63857,0.75753,6.7142,5.4773,5.4773,0.63857,,,
2511,management,EBMT,,,,,42303.5,,,,243680.9,,1.13953,0.76096,7.34649,10.04504,10.04504,1.13953,,,
2514,management,CVE.TO,0.56939,0.56939,6.62318,6.62318,948756.8,929267.3,17.33018,14.47185,8726919,8547649,6.19013,1.27161,2.62862,11.96651,11.96651,6.19013,1.39875,6.67214,6.67214
2515,management,CTBI,,,,,65257.84,,,,197238.6,,1.5066,1.31663,10.22921,10.94793,10.94793,1.5066,,,
2516,management,CSBB,,,,,59850.57,,,,194408,,1.34339,1.14369,11.52567,12.85584,12.85584,1.34339,,,
2517,management,CQE.TO,0.18085,0.18085,,,,,4.57391,4.574,,,-4.71683,-21.74919,-34.44891,-8.46064,-8.46129,-4.71647,-25.35925,-5.31387,-5.31346
2518,management,CPI.TO,0.0896,0.0896,,,,-177820.5,7.68394,7.68394,,57974.36,-27.48167,-20.00266,-23.76058,-48.12714,-48.12714,-27.48167,-21.89669,-39.35533,-39.35533
2520,management,CJ.TO,0.27659,0.27659,,,,,10.71003,10.71003,,,-2.91491,-3.99128,-5.93341,-4.48735,-4.48735,-2.91491,-4.22347,-3.13403,-3.13403
2522,management,CFP.TO,1.11282,1.11282,4.57291,4.57278,-41473.17,-39861.07,21.08782,21.08782,716330.9,688486.6,-6.44283,4.8596,7.50248,-14.20969,-14.20969,-6.44283,6.43546,-8.72068,-8.72068
2526,management,BNE.TO,0.17316,0.17316,108.4405,108.4405,78342.1,78342.1,12.83773,12.83773,4993369,4993369,0.27167,-0.36552,-0.7607,0.60268,0.60268,0.27167,-0.38367,0.28306,0.28306
2527,management,BKSW.JK,,,,,18452180,,,,2756623000,,0.06457,-1.0314,-7.52455,3.28395,0.33635,0.65082,,,
2529,management,BKG.L,0.61068,0.45281,0.63363,0.45581,237202.3,196782.6,103.7684,29.73919,1118110,836101.8,12.95532,14.18918,28.06113,18.39868,22.59069,10.65716,24.45309,19.65323,16.02852
2530,management,BGB,0.07713,0.07713,,,,,5.72433,5.72433,,,5.05229,3.03414,5.0577,8.41831,8.41831,5.05229,3.26975,5.28952,5.28952
2532,management,BCAP.JK,0.13775,0.14693,,,58375190,40408880,2.67637,3.55996,1009772000,1081928000,0.79634,-0.72225,-1.37165,2.45523,2.41804,0.54875,-1.78637,1.82122,1.26126
2533,management,BBDC4.SA,,,,,232054.7,,,,2074490,,1.71806,1.53002,16.76278,17.72269,17.72269,1.71806,,,
2539,management,WEF.TO,0.98602,0.98602,4.76637,4.76637,-21265.94,-21131.22,14.0837,14.0837,367805.1,365475.1,-5.70103,6.53237,10.00801,-8.77975,-8.77975,-5.70103,7.58574,-6.4583,-6.4583
2540,management,WCP.TO,0.19303,0.19303,,,-570963.4,-562718.4,2.84913,2.84913,4001161,3943383,-2.75457,-2.10689,-3.64756,-5.06264,-5.06264,-2.75457,-2.18877,-2.85391,-2.85391
2541,management,VLE.TO,0.11941,0.11941,16.87151,16.87151,-83199.68,-83199.68,1.69703,1.69703,181864.3,181864.3,-5.46299,-5.75614,-7.81638,-7.01583,-7.01583,-5.46299,-6.30857,-6.00839,-6.00839
2542,management,VIA.AX,0.27538,0.35223,0.49086,0.60742,,,1.18872,1.62126,,,-23.27919,-10.3224,-17.93399,-18.67094,-22.30641,-21.54703,-39.44792,-98.08987,-88.44829
2543,management,VFF.TO,0.99286,0.89432,5.79331,6.51549,,,13.30318,14.25108,,,-3.40553,-0.18949,-0.37338,11.91997,-5.66197,7.5777,-0.2196,-3.97118,8.93111
2544,management,VAPO,0.46003,0.46003,2.34543,2.34543,-183996.4,-183007.2,6.26762,6.26762,173347.8,172415.8,-48.82851,,,-96.97816,-96.97816,-48.82851,,-57.08009,-57.08009
2545,management,URE.TO,0.33819,0.33819,32.90761,32.90761,-239088.2,-275229.4,1217.17,1217.17,916107.2,1054589,-8.82607,-1.61501,-3.85316,-17.50468,-17.50468,-8.82607,-1.78062,-9.30227,-9.30227
2547,management,TS-B.TO,1.21583,1.21583,,,,,4.23746,4.23746,,,-13.17932,-20.41858,-34.07987,-24.86591,-24.86591,-13.17932,-26.08732,-17.40369,-17.40369
2548,management,TRQ.TO,0.08923,0.08923,3.85505,3.85505,-247118.3,-236771.2,64.94633,64.94633,604178.2,578880.6,-3.64974,0.76596,2.18227,-1.62752,-1.62752,-3.64974,0.73813,-3.50332,-3.50332
2550,management,TLO.TO,8e-05,0.00014,,,,,1.88679,2.68321,,,-23.62512,-20.8829,-37.85672,-23.18474,-83.54812,-15.0296,-27.36124,-83.54812,-23.18474
2552,management,SVB.TO,0,0,,,,,,,,,-39.51283,-46.35343,-49.41063,-37.56251,-43.36068,-35.05248,-49.41063,-43.36068,-37.56251
2554,management,SOLB.BR,0.51848,0.51844,5.03912,5.03912,,,7.88413,7.88343,,,-0.36484,2.22794,4.32848,-2.30746,-2.31745,-0.36946,2.79436,-0.45031,-0.45601
2557,management,RME.TO,1.0883,1.0883,1.18277,1.18277,-1318.788,-1441.06,124.8703,370.1385,939478.8,1026583,-0.15277,2.06213,7.10369,-0.55596,-0.55596,-0.15277,5.75709,-0.44042,-0.44042
2558,management,REC.BR,1.34914,1.34914,8.24434,8.24434,,,8.9574,8.9574,,,3.21112,2.76509,7.88843,9.17665,9.17665,3.21112,4.8157,5.71178,5.71178
2560,management,PZA.TO,0.10058,0.10058,,,,,433.0844,433.0723,,,7.64023,7.65832,9.55151,9.53362,9.53467,7.63939,7.72948,7.7052,7.70436
2563,management,PBL.TO,1.20949,1.20949,6.97969,6.97976,13279.25,12808.03,8.65922,8.65924,239951.1,231436.9,6.69347,6.52012,21.01394,18.27728,18.27728,6.69347,7.80657,7.8721,7.8721
2566,management,NRI.TO,0.37848,0.37848,2.44274,2.44274,35755.32,36934.07,4.95412,4.95412,739851.1,764241.8,1.8291,3.34628,9.17541,15.00513,15.00513,1.8291,3.95123,2.18283,2.18283
2568,management,NPI.TO,0.1594,0.1594,5.8877,,1156860,1080751,5.81572,5.81572,4248341,3968845,4.34074,3.04423,22.96087,38.30496,38.30496,4.34074,3.49484,5.09909,5.09909
2570,management,MRVE3.SA,0.42762,0.42762,1.11147,1.11147,,,4.01832,4.01832,,,5.28101,5.20738,12.68324,14.5741,14.5741,5.28101,6.94739,6.68801,6.68801
2571,management,MR-UN.TO,0.09531,0.09531,,,,,47.50267,47.50267,,,-0.06537,1.38937,5.14196,-0.25214,-0.25214,-0.06537,1.54705,-0.07427,-0.07427
2573,management,MEG.TO,0.48306,0.48306,25.90886,25.90886,-129301.4,-138084.6,14.04917,13.0989,8198123,8755011,-0.76188,-3.58643,-8.43726,-1.60237,-1.60237,-0.76188,-3.76314,-0.81305,-0.81305
2575,management,MAX.TO,0,0,,,-385216,-404970.3,,,,0,-11.74287,-23.47433,-42.09158,-38.04413,-38.04417,-11.74286,-24.10197,-12.256,-12.25599
2576,management,MAB.L,0.45793,0.45793,22.07692,,3165.047,3138.718,319.5714,37.59664,49511.96,49100.09,2.92733,2.05852,6.57068,7.69645,7.69645,2.92733,2.35908,3.31787,3.31787
2579,management,LIF.TO,0.23664,0.23664,,,,,4.31959,4.31959,,,27.25825,16.85438,21.7039,36.40191,36.40156,27.25852,17.82587,29.98114,29.98143
2582,management,LB.TO,,,,,50024.62,,,,280524.3,,0.38275,0.39794,8.72701,6.60262,6.98214,0.36828,,,
2583,management,KXS.TO,0.59074,0.59074,,,,,2.69237,2.69237,,,7.19535,7.93381,13.56473,11.24971,11.24971,7.19535,12.37383,10.62722,10.62722
2584,management,KSBI,,,,,,,,,,,0.90607,0.73985,11.2911,14.87988,14.87988,0.90607,,,
2585,management,KEY.TO,0.51151,0.51151,15.85384,15.87173,419686.8,413043.8,7.93764,7.93764,3421875,3367711,6.27364,5.66779,14.52537,15.15301,15.15301,6.27364,6.39351,7.04836,7.04836
2586,management,KBL.TO,0.74867,0.74867,1.98993,1.98993,3915.979,4039.259,7.37653,7.37653,90631.95,93485.19,3.23482,3.96105,5.92512,5.52607,5.52607,3.23482,4.49335,3.64142,3.64142
2587,management,KBC.BR,,,,,,,,,,,0.86678,0.9261,12.67539,12.18061,12.17061,0.86747,,,
2588,management,K.TO,0.40809,0.40809,2.38408,2.38408,,,666.1524,666.1524,,,8.36766,0.08596,0.23372,14.62769,14.62769,8.36766,0.09354,9.03308,9.03308
2591,management,IVN.TO,0,0,,,,,,,,,0.52643,13.83709,13.03585,0.88493,0.88493,0.52643,13.07599,0.51444,0.51444
2592,management,ITUB4.SA,,,,,284918.2,,,,1224063,,1.74361,1.78378,19.81573,19.8117,19.8117,1.74361,,,
2593,management,IFP.TO,1.29045,1.29045,8.84643,8.84643,-28998.32,-30833.33,21.19668,21.19668,524118.8,557284.9,-7.13978,2.04965,3.43319,-11.53328,-11.53328,-7.13978,2.31494,-8.01349,-8.01349
