,metricType,symbol,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
4418,management,OPY,0.43926,0.43926,,,18150.13,18153.24,1.11868,1.11868,354200.2,354260.9,2.25089,0.67186,2.99039,9.30597,9.30597,2.25089,1.99151,6.19151,6.19151
4419,management,IPHS,1.0021,0.89447,4.04096,3.67822,20063.68,14387.88,7.88501,7.24801,561121.1,510804,3.58315,5.74454,11.00314,6.27057,8.53119,2.51945,6.68735,4.2263,2.92405
4420,management,INXN,0.28338,0.23599,,,48807.06,67628.36,3.8509,2.87211,881080.5,897412.6,1.56978,2.64377,7.31852,5.78803,5.05923,1.77838,3.12424,1.88117,1.99732
4421,management,INN,0.24,0.24,,,1419793,1395729,40.30581,40.30581,9471517,9310983,3.59757,5.26415,7.77882,5.70888,5.70888,3.59757,5.44879,3.76213,3.79615
4422,management,HT,0.24875,0.24875,,,-113534,-119326.5,36.72499,36.72499,10290490,10815510,-0.27444,2.56662,3.69769,-3.27544,-3.27532,-0.27444,2.74647,-0.29819,-0.29819
4423,management,,,,,,,,,,,,,,,,,,,,
4424,management,HHS,1.84875,1.84875,493.1496,493.5187,-11037.61,-13517.24,4.51503,4.51503,91438.12,111979.9,-22.31654,-25.72977,-144.0825,,,-22.31654,-38.06388,-38.71348,-38.71348
4425,management,HELE,0.95572,0.93839,3.33319,2.99708,116576.8,129934.7,5.62801,4.68281,1046605,1099940,10.64532,8.08252,14.12093,17.75919,17.32627,11.08513,9.72254,13.09101,13.61417
4426,management,,,,,,,,,,,,,,,,,,,,
4427,management,RICK,0.5299,0.51104,30.204,28.91142,9094.588,8434.546,24.86562,42.5591,85204.23,84286.37,5.6561,4.02542,8.88165,11.31073,11.91393,5.11399,4.52985,6.27901,5.59481
4428,management,MGLN,2.35848,2.35848,161.6288,161.6288,5427.378,5534.852,8.66233,8.68675,695089.6,708853.8,1.84154,2.20156,4.86733,4.16699,4.16699,1.84154,3.31255,2.62316,2.62316
4429,management,LXFR,1.11,1.11,3.56725,3.56725,1500,1500,8.28198,8.28198,277187.5,277187.5,0.60068,3.75569,9.3103,1.72846,1.72846,0.60068,4.56527,0.75722,0.75722
4430,management,IHT,0.30632,0.29361,,,,,6.09618,6.29006,,,-9.85907,-10.93014,-96.24711,-17.29904,-117.3545,-6.78986,-14.81901,-11.04927,-9.31372
4431,management,HRC,0.62664,0.65595,5.28167,5.0973,15120,14980,4.71199,5.14104,290730,290880,3.25897,3.02995,9.75927,9.44961,9.48111,3.37806,3.62615,4.11524,4.04182
4432,management,HIIQ,0.70422,0.70422,,,,,,,,,6.77458,9.20747,22.33025,28.29299,28.29395,6.7744,,,
4433,management,HALO,0.3896,0.3896,1.75231,1.75231,-349830.5,-547272.8,4.3823,4.3823,949113.8,1484788,-14.36009,-12.70771,-42.08134,-42.41278,-42.41278,-14.36009,-17.07691,-18.73629,-18.73629
4434,management,UHT,0.15868,0.15868,,,,,7.4156,7.4156,,,3.89987,5.3681,13.11742,9.97203,9.97203,3.89987,5.50558,4.04296,4.04296
4435,management,TTEC,1.35212,1.35212,,,1663.081,1711.798,4.81984,4.81984,32261.12,33206.14,6.97027,3.58586,7.9945,20.20751,20.20751,6.97027,4.70508,9.61355,9.61355
4436,management,PEB,0.23926,0.23926,,,2143056,1995259,29.44251,29.44251,29855800,27796780,1.71738,1.98455,2.45116,2.23796,2.23807,1.71738,2.14218,1.873,1.873
4437,management,MCFT,2.19114,1.78045,13.81869,12.2821,20562.35,15233.47,51.88352,85.4813,449091,385452.7,10.03249,15.8162,199.6723,23.24385,34.21074,7.03652,27.0476,13.9457,9.19626
