,Ticker,Name,Exchange,Category Name,Country
80727,MAW.L,"Maruwa Co., Ltd.",LSE,Diversified Electronics,United Kingdom
80803,RHM.DE,Rheinmetall AG,GER,Diversified Machinery,Germany
80833,RHK.DE,Rhön-Klinikum Aktiengesellschaft,GER,Hospitals,Germany
80899,HP3.DE,Ringmetall AG,GER,Asset Management,Germany
80920,JPR.AX,Jupiter Energy Limited,ASX,Independent Oil & Gas,Australia
80940,KKB.L,JSC Kazkommertsbank,LSE,Money Center Banks,United Kingdom
80961,RM.L,RM Plc,LSE,Business Software & Services,United Kingdom
80973,5OS.SI,Jubilee Industries Holdings Ltd.,SES,Rubber & Plastics,Singapore
81096,KAZI.PA,Orchestra-PrÃ©maman S.A.,PAR,Textile - Apparel Clothing,France
81112,KARD.AS,Kardan N.V.,AMS,Asset Management,Netherlands
81128,RHO5.DE,Roche Holding AG,GER,Biotechnology,Germany
81158,KA.AS,KAS BANK N.V.,AMS,Money Center Banks,Netherlands
81167,KPO.AX,Kalina Power Limited,ASX,Diversified Utilities,Australia
81182,RKET.DE,Rocket Internet SE,GER,Technical & System Software,Germany
81342,RO5K.DE,Ropal Europe AG,GER,Chemicals - Major Diversified,Germany
81354,K11.SI,Keppel Telecommunications & Transportation Ltd,SES,Air Delivery & Freight Services,Singapore
81396,KEM.L,Kemin Resources plc,LSE,Industrial Metals & Minerals,United Kingdom
81464,5ML.SI,Old Chang Kee Ltd.,SES,Food - Major Diversified,Singapore
81911,TIE.AS,TIE Kinetix N.V.,AMS,Business Services,Netherlands
81983,KRC.AX,King River Copper Limited,ASX,Industrial Metals & Minerals,Australia
82021,LWRF.L,LightwaveRF Plc,LSE,Electronic Equipment,United Kingdom
82076,LI.PA,Klepierre SA,PAR,REIT - Retail,France
82114,KNO.AX,Knosys Limited,ASX,Business Software & Services,Australia
82173,BRILL.AS,Koninklijke Brill NV,AMS,Publishing - Newspapers,Netherlands
82217,KOR.BR,Kortrijk Ring Shopping Center,BRU,Property Management,Belgium
82221,5OC.SI,Koyo International Limited,SES,General Contractors,Singapore
83439,KTA.AX,Krakatoa Resources Limited,ASX,Industrial Metals & Minerals,Australia
83554,578.SI,KS Energy Limited,SES,Oil & Gas Equipment & Services,Singapore
83600,D13.AX,Department 13 International Limited,ASX,Aerospace/Defense - Major Diversified,Australia
83675,1280.HK,HUIYIN SMARTCOM,HKG,"Specialty Retail, Other",Hong Kong
83683,0947.HK,MOBI DEV,HKG,General Contractors,Hong Kong
83688,8171.HK,CHINA TRENDS,HKG,Communication Equipment,Hong Kong
83710,8182.HK,CHINA CANDY,HKG,Business Services,Hong Kong
83715,0329.HK,OCI International Holdings Limited,HKG,Medical Instruments & Supplies,Hong Kong
83721,0612.HK,CHINA INV FUND,HKG,Asset Management,Hong Kong
83724,1026.HK,Universal Technologies Holdings Limited,HKG,Conglomerates,Hong Kong
83731,8129.HK,China Bio Cassava Holdings Limited,HKG,Technical & System Software,Hong Kong
83737,8325.HK,CHINA SMARTPAY,HKG,Business Services,Hong Kong
83740,8026.HK,Prosten Health Holdings Limited,HKG,Wireless Communications,Hong Kong
83753,0064.HK,Get Nice Holdings Limited,HKG,Investment Brokerage - National,Hong Kong
83755,8233.HK,CIG Yangtze Ports PLC,HKG,Shipping,Hong Kong
83759,0320.HK,Computime Group Limited,HKG,Electronic Equipment,Hong Kong
83785,0090.HK,AMBER ENERGY,HKG,Diversified Utilities,Hong Kong
83800,8312.HK,China Hanya Group Holdings Limited,HKG,Textile - Apparel Clothing,Hong Kong
83803,0653.HK,BONJOUR HOLD,HKG,"Specialty Retail, Other",Hong Kong
83806,0640.HK,Infinity Development Holdings Company Limited,HKG,Specialty Chemicals,Hong Kong
83831,1282.HK,CHINA GOLDJOY,HKG,Multimedia & Graphics Software,Hong Kong
83840,8011.HK,POLYARD PETRO,HKG,Paper & Paper Products,Hong Kong
83851,2788.HK,YORKEY OPTICAL,HKG,Electronic Equipment,Hong Kong
83853,2188.HK,TITANS ENERGY,HKG,Electronics Wholesale,Hong Kong
83860,0960.HK,LONGFOR PPT,HKG,Property Management,Hong Kong
83862,8206.HK,S ROBOT EDU,HKG,Business Services,Hong Kong
83863,8155.HK,SC ASSETS HLDGS,HKG,Publishing - Newspapers,Hong Kong
83864,8340.HK,VINCO FINANCIAL,HKG,Asset Management,Hong Kong
83867,0360.HK,New Focus Auto Tech Holdings Limited,HKG,Auto Parts,Hong Kong
83876,0743.HK,ASIA CEMENT CH,HKG,General Building Materials,Hong Kong
83879,1178.HK,SHARE ECON GP,HKG,Biotechnology,Hong Kong
83886,0822.HK,KA SHUI INT'L,HKG,Diversified Machinery,Hong Kong
83894,2678.HK,Texhong Textile Group Limited,HKG,Textile Industrial,Hong Kong
83907,0690.HK,UNI-BIO GROUP,HKG,Packaging & Containers,Hong Kong
83925,2020.HK,Fidelity RMT-Fidelity SaveEasy 2020,HKG,Textile - Apparel Footwear & Accessories,Hong Kong
83926,2002.HK,SUNSHINE PAPER,HKG,Paper & Paper Products,Hong Kong
83929,0483.HK,BAUHAUS INT'L,HKG,Textile - Apparel Clothing,Hong Kong
83932,2008.HK,PHOENIX TV,HKG,Broadcasting - TV,Hong Kong
83933,1899.HK,XINGDA INT'L,HKG,Auto Parts,Hong Kong
83938,1117.HK,CH MODERN D,HKG,Farm Products,Hong Kong
83950,1164.HK,CGN MINING,HKG,Medical Instruments & Supplies,Hong Kong
83965,3344.HK,ADDCHANCE,HKG,Textile Industrial,Hong Kong
83972,0850.HK,TOURONG CHANGFU,HKG,Home Furnishings & Fixtures,Hong Kong
83975,3393.HK,WASION GROUP,HKG,Diversified Utilities,Hong Kong
83976,0658.HK,C TRANSMISSION,HKG,Diversified Machinery,Hong Kong
83978,2878.HK,SOLOMON SYSTECH,HKG,Electronic Equipment,Hong Kong
83981,0258.HK,TOMSON GROUP,HKG,Asset Management,Hong Kong
83992,3366.HK,OCT (ASIA),HKG,Paper & Paper Products,Hong Kong
83996,0220.HK,U-PRESID CHINA,HKG,Food - Major Diversified,Hong Kong
84001,0600.HK,CHINA INFRA INV,HKG,Real Estate Development,Hong Kong
84005,0707.HK,CO-PROSPERITY,HKG,Textile Industrial,Hong Kong
84006,0543.HK,PACIFIC ONLINE,HKG,Internet Information Providers,Hong Kong
84007,1838.HK,CHINAPROPERTIES,HKG,Asset Management,Hong Kong
84011,0712.HK,COMTEC SOLAR,HKG,Diversified Utilities,Hong Kong
84016,1062.HK,China Development Bank Intl Inv Ltd.,HKG,Asset Management,Hong Kong
84018,1002.HK,V.S. INT'L,HKG,Rubber & Plastics,Hong Kong
84020,1140.HK,OP FIN INV,HKG,Asset Management,Hong Kong
84027,1368.HK,XTEP INT'L,HKG,Apparel Stores,Hong Kong
84028,2307.HK,KAM HING INT'L,HKG,Textile Industrial,Hong Kong
84035,1090.HK,DA MING INT'L,HKG,Steel & Iron,Hong Kong
84043,1966.HK,China SCE Property Holdings Limited,HKG,Real Estate Development,Hong Kong
84045,SFQ.DE,Saf-Holland S.A.,GER,Auto Parts,Germany
84056,2349.HK,CH CITY INFRA,HKG,Food - Major Diversified,Hong Kong
84060,3683.HK,GREAT HARVEST,HKG,Shipping,Hong Kong
84062,0309.HK,XH NEWS MEDIA,HKG,Waste Management,Hong Kong
84066,2389.HK,BJ ENT M&H,HKG,Electronic Equipment,Hong Kong
84070,2339.HK,BWI INT'L,HKG,Auto Parts,Hong Kong
84079,3303.HK,JUTAL OIL SER,HKG,General Contractors,Hong Kong
84080,1194.HK,MUNSUN CAPITAL,HKG,Gold,Hong Kong
84084,1036.HK,VANKE PPT OVS,HKG,Asset Management,Hong Kong
84100,0299.HK,NEW SPORTS,HKG,Information Technology Services,Hong Kong
84103,2010.HK,REAL NUTRI,HKG,Drug Manufacturers - Major,Hong Kong
84104,0381.HK,KIU HUNG INT'L,HKG,"Specialty Retail, Other",Hong Kong
84107,0215.HK,HUTCHTEL HK,HKG,Wireless Communications,Hong Kong
84110,2362.HK,JINCHUAN INTL,HKG,Industrial Metals & Minerals,Hong Kong
84115,0633.HK,CH ALL ACCESS,HKG,Communication Equipment,Hong Kong
84120,3398.HK,CHINA TING,HKG,Textile - Apparel Clothing,Hong Kong
84124,0542.HK,CENERIC,HKG,Lodging,Hong Kong
84126,LEK.L,Lekoil Limited,LSE,Independent Oil & Gas,United Kingdom
84127,1086.HK,GOODBABY INTL,HKG,"Recreational Goods, Other",Hong Kong
84146,0471.HK,CMMB VISION,HKG,Electronic Equipment,Hong Kong
84147,1386.HK,Vestate Group Holdings Limited,HKG,Textile - Apparel Footwear & Accessories,Hong Kong
84153,0558.HK,LK TECH,HKG,Diversified Machinery,Hong Kong
84155,1383.HK,SUNCITY GROUP,HKG,Asset Management,Hong Kong
84157,1177.HK,SINO BIOPHARM,HKG,Biotechnology,Hong Kong
84164,0953.HK,SHAW BROTHERS,HKG,"Specialty Retail, Other",Hong Kong
84169,0842.HK,LEOCH INT'L,HKG,Diversified Electronics,Hong Kong
84172,0931.HK,CHINA LNG-NEW,HKG,"Specialty Retail, Other",Hong Kong
84174,3339.HK,LONKING,HKG,Diversified Machinery,Hong Kong
84176,2688.HK,ENN ENERGY,HKG,Gas Utilities,Hong Kong
84179,0841.HK,CASSAVA RES,HKG,Food - Major Diversified,Hong Kong
84188,0496.HK,KASEN,HKG,Textile - Apparel Clothing,Hong Kong
84200,1991.HK,Ta Yang Group Holdings Limited,HKG,Rubber & Plastics,Hong Kong
84205,1172.HK,MIDAS INT'L,HKG,Home Furnishings & Fixtures,Hong Kong
84206,0872.HK,TUS INTL,HKG,Auto Parts,Hong Kong
84213,8007.HK,GLOBALSTRAT,HKG,Information Technology Services,Hong Kong
84224,0580.HK,SUN.KING ELEC,HKG,Diversified Electronics,Hong Kong
84227,8123.HK,SINOFORTUNE FIN,HKG,Investment Brokerage - National,Hong Kong
84231,8220.HK,BINGO GROUP,HKG,Entertainment - Diversified,Hong Kong
84233,8111.HK,CT SOLARPOWER,HKG,Business Equipment,Hong Kong
84236,2222.HK,NVC LIGHTING,HKG,Home Furnishings & Fixtures,Hong Kong
84237,0455.HK,TIANDA PHARMA,HKG,Medical Instruments & Supplies,Hong Kong
84248,0573.HK,TAO HEUNG HLDGS,HKG,Restaurants,Hong Kong
84261,8063.HK,GLOBAL M HLDG,HKG,Business Services,Hong Kong
84264,8025.HK,ACR HOLDINGS,HKG,Multimedia & Graphics Software,Hong Kong
84268,0374.HK,FOUR SEAS MER,HKG,Food Wholesale,Hong Kong
84269,0569.HK,CH AUTOMATION,HKG,Business Software & Services,Hong Kong
84276,0228.HK,China Energy Development Holdings Limited,HKG,Restaurants,Hong Kong
84277,0095.HK,LVGEM CHINA,HKG,Asset Management,Hong Kong
84297,1728.HK,China Zhengtong Auto Services Holdings Limited,HKG,Auto Dealerships,Hong Kong
84300,1428.HK,BRIGHT SMART,HKG,Investment Brokerage - National,Hong Kong
84303,8331.HK,FS NONMETAL,HKG,Auto Parts,Hong Kong
84304,2005.HK,SSY GROUP,HKG,Drug Manufacturers - Major,Hong Kong
84308,0556.HK,PAN ASIA ENVIRO,HKG,Pollution & Treatment Controls,Hong Kong
84318,1217.HK,CH INNOVATION,HKG,Asset Management,Hong Kong
84324,0926.HK,BESUNYEN,HKG,Drug Manufacturers - Major,Hong Kong
84328,1129.HK,WATER INDUSTRY,HKG,Computer Based Systems,Hong Kong
84339,2314.HK,LEE & MAN PAPER,HKG,Paper & Paper Products,Hong Kong
